path,stage,upstream_el_m,downstream_el_m,required_peak_m,balancing_head_m,lambda030_margin_m
T1,0,34.8,34.65,0.15,0.0,0.0
T1,1,34.65,34.55,0.06331432424083398,0.03668567575916602,0.03668567575916602
T1,2,34.55,34.25,0.2509965404610102,0.04900345953898977,0.04900345953898977
T1,3,34.25,33.8,0.37823573547676026,0.07176426452323975,0.054253350843760095
T1,4,33.8,33.4,0.35316032315627843,0.04683967684372159,0.04683967684372159
T1,5,33.4,33.05,0.29022294323736914,0.05977705676263084,0.04627996156852987
T1,6,33.05,32.849999999999994,0.2,0.0,0.0
T1,7,32.849999999999994,32.599999999999994,0.20569198356669421,0.044308016433305786,0.0369289318210477
T1,8,32.599999999999994,32.3,0.3,0.0,0.0
T1,9,32.3,31.949999999999996,0.2661248467241544,0.0838751532758456,0.07516073764004205
T1,10,31.949999999999996,31.499999999999996,0.42556185158393556,0.024438148416064454,0.024438148416064454
T1,11,31.499999999999996,31.149999999999995,0.2652873060759592,0.0847126939240408,0.07082406526906804
T1,12,31.149999999999995,30.949999999999996,0.2,0.0,0.0
T1,13,30.949999999999996,30.249999999999996,0.6057137556324327,0.09428624436756727,0.06633747290382219
T1,14,30.249999999999996,30.099999999999998,0.10256069832083935,0.04743930167916065,0.04743930167916065
T1,15,30.099999999999998,30.049999999999997,0.01118060530498204,0.03881939469501797,0.03881939469501797
T1,16,30.049999999999997,29.299999999999997,0.75,0.0,0.0
T1,17,29.299999999999997,28.949999999999996,0.2667495850507398,0.08325041494926017,0.08033192933601357
T1,18,28.949999999999996,28.749999999999996,0.1434494048622972,0.0565505951377028,0.04736983322651578
T2,0,34.8,34.65,0.15,0.0,0.0
T2,1,34.65,34.55,0.06331432424083398,0.03668567575916602,0.03668567575916602
T2,2,34.55,34.25,0.2509965404610102,0.04900345953898977,0.04900345953898977
T2,3,34.25,33.8,0.37823573547676026,0.07176426452323975,0.054253350843760095
T2,4,33.8,33.4,0.35316032315627843,0.04683967684372159,0.04683967684372159
T2,5,33.4,33.05,0.29022294323736914,0.05977705676263084,0.04627996156852987
T2,6,33.05,32.849999999999994,0.2,0.0,0.0
T2,7,32.849999999999994,32.599999999999994,0.20569198356669421,0.044308016433305786,0.0369289318210477
T2,8,32.599999999999994,32.3,0.3,0.0,0.0
T2,9,32.3,31.949999999999996,0.2661248467241544,0.0838751532758456,0.07516073764004205
