控制路径,水线,A2O系列,二沉池,公共前处理_m,前处理至初沉_m,初沉至A2O_m,A2O至二沉_m,二沉至接触池_m,接触池至东厂界_m,外部中心线总长_m
进厂—C1—B1—T1—接触池—计量—东厂界,A,1,1,53.0,259.0,28.0,156.0,266.0,64.0,826.0
进厂—C1—B1—T2—接触池—计量—东厂界,A,1,2,53.0,259.0,28.0,116.0,222.0,64.0,742.0
进厂—C2—B2—T3—接触池—计量—东厂界,A,2,3,53.0,259.0,28.0,116.0,178.0,64.0,698.0
进厂—C2—B2—T4—接触池—计量—东厂界,A,2,4,53.0,259.0,28.0,156.0,134.0,64.0,694.0
进厂—C3—B3—T5—接触池—计量—东厂界,B,3,5,53.0,179.0,28.0,156.0,75.0,65.0,556.0
进厂—C3—B3—T6—接触池—计量—东厂界,B,3,6,53.0,179.0,28.0,116.0,47.0,65.0,488.0
进厂—C4—B4—T7—接触池—计量—东厂界,B,4,7,53.0,179.0,28.0,116.0,91.0,65.0,532.0
进厂—C4—B4—T8—接触池—计量—东厂界,B,4,8,53.0,179.0,28.0,156.0,135.0,65.0,616.0
